05:58:25                        Запускается сервис Монитора Установки...
05:58:26                        Версия сервиса: 0x105
05:58:26                        Запускаем 'setup.exe'...
05:58:26                        Монитор установки запущен
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Binaries\ThirdParty\NVIDIA\NVaftermath\Win64
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Binaries\ThirdParty\Ogg\Win64
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Binaries\ThirdParty\Ogg\Win64\VS2015
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Binaries\ThirdParty\PhysX3\Win64
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Binaries\ThirdParty\PhysX3\Win64\VS2015
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Binaries\ThirdParty\Steamworks\Steamv139
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Binaries\ThirdParty\Steamworks\Steamv139\Win64
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Binaries\ThirdParty\Vorbis\Win64
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Binaries\ThirdParty\Vorbis\Win64\VS2015
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Binaries\ThirdParty\Windows\DirectX
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Binaries\ThirdParty\Windows\DirectX\x64
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Config\Windows
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\ArtTools
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\BasicShapes
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorBlueprintResources
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorLandscapeResources
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorMaterials
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorMeshes
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorResources
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorSounds
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EngineDamageTypes
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EngineDebugMaterials
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EngineFonts
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EngineMaterials
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EngineMeshes
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EngineResources
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EngineSky
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EngineSounds
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Engine_MI_Shaders
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Internationalization
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Localization
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Maps
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\MobileResources
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\SlateDebug
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Tutorial
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\VREditor
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\ArtTools\RenderToTexture
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\ArtTools\RenderToTexture\MaterialFunctions
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\ArtTools\RenderToTexture\Meshes
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorMaterials\Camera
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorMaterials\MatineeGroups
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorMaterials\ParticleSystems
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorMeshes\Camera
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorResources\AI
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorResources\AudioIcons
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorResources\LightIcons
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorResources\SequenceRecorder
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EditorSounds\Notifications
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\EngineFonts\Faces
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions01
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions02
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions03
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions01\Density
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions01\Gradient
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions01\ImageAdjustment
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions01\Opacity
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions01\Shading
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions01\Texturing
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions02\ExampleContent
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions02\Math
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions02\Texturing
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions02\Utility
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions02\WorldPositionOffset
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions02\ExampleContent\Textures
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions03\Blends
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Functions\Engine_MaterialFunctions03\ComplexMotion
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Internationalization\icudt53l
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Internationalization\icudt53l\brkitr
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Internationalization\icudt53l\coll
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Internationalization\icudt53l\curr
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Internationalization\icudt53l\lang
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Internationalization\icudt53l\rbnf
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Internationalization\icudt53l\region
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Internationalization\icudt53l\zone
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Localization\Engine
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Localization\Engine\ar
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Localization\Engine\en
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Localization\Engine\es
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Localization\Engine\ja
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Localization\Engine\ko
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Localization\Engine\pt-BR
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Localization\Engine\zh-CN
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Maps\Templates
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Maps\Templates\Thumbnails
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\MobileResources\HUD
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate\Common
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate\CrashTracker
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate\Docking
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate\Fonts
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate\Icons
05:58:46    Создана папка       C:\Program Files (x86)\Hello Neighbor\Engine\Content\Slate\MessageLog
