00:41:52                        Запускается сервис Монитора Установки...
00:41:52                        Версия сервиса: 0x105
00:41:52                        Запускаем 'setup.exe'...
00:41:52                        Монитор установки запущен
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\06\0630ece443a9ac64adccf257db027e8a.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\0a\0aa4a50b370830d76b598d88f8d798da.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\0c\0cd30ac0b36157b92ad9e115d4dc39e9.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\0e\0eacd852e1841fc165ca0402eb6a2af0.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\1a\1ab296b9ab36c920a9b10808ec3adb38.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\1b\1b13eba79670d992201c88babb3b92b0.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\1b\1b9d35fb8fdd05c45dffae77a36ed0b2.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\1c\1cffd33fc623eb565a2a6fa44e5ee89f.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\1d\1d310b24b13fa039ee43998c99b6f8b2.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\1e\1e2c95bf336e08ea5ae873728ed0ee90.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\2b\2bfa79689b7b16035c7003cd6d71e227.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\2c\2cde0bee8de1daf1a8b1f1a8a2b61ab6.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\38\3824d98da8d8d7983c363fb7ab219411.caw
00:44:02    Создан файл         C:\Program Files (x86)\Slime Rancher\SlimeRancher_Data\GI\level3\45\452959b67dff492d101e81e1f507aa58.caw
